,Date,Origin,Dest,fled
4083,2015-04-25,Baghdad,Sulaymaniyah,40
4084,2015-04-25,Baghdad,Thi Qar,0
4077,2015-04-25,Baghdad,Missan,1
4988,2015-05-07,Kirkuk,Baghdad,0
4989,2015-05-07,Kirkuk,Basrah,0
4990,2015-05-07,Kirkuk,Dahuk,0
4991,2015-05-07,Kirkuk,Diyala,0
4992,2015-05-07,Kirkuk,Erbil,0
4993,2015-05-07,Kirkuk,Kerbala,0
5001,2015-05-07,Kirkuk,Sulaymaniyah,0
4995,2015-05-07,Kirkuk,Missan,0
4996,2015-05-07,Kirkuk,Muthanna,1
4997,2015-05-07,Kirkuk,Najaf,0
4998,2015-05-07,Kirkuk,Ninewa,0
4999,2015-05-07,Kirkuk,Qadissiya,3
5000,2015-05-07,Kirkuk,Salahal Din,0
4994,2015-05-07,Kirkuk,Kirkuk,130
4987,2015-05-07,Kirkuk,Babylon,0
4979,2015-05-07,Erbil,Najaf,0
4985,2015-05-07,Erbil,Wassit,0
5002,2015-05-07,Kirkuk,Thi Qar,0
4971,2015-05-07,Erbil,Basrah,0
4972,2015-05-07,Erbil,Dahuk,0
4973,2015-05-07,Erbil,Diyala,0
4974,2015-05-07,Erbil,Erbil,0
4975,2015-05-07,Erbil,Kerbala,0
4986,2015-05-07,Kirkuk,Anbar,0
4976,2015-05-07,Erbil,Kirkuk,0
4978,2015-05-07,Erbil,Muthanna,0
4980,2015-05-07,Erbil,Ninewa,0
4981,2015-05-07,Erbil,Qadissiya,0
4982,2015-05-07,Erbil,Salahal Din,0
4983,2015-05-07,Erbil,Sulaymaniyah,0
4984,2015-05-07,Erbil,Thi Qar,0
4977,2015-05-07,Erbil,Missan,0
4970,2015-05-07,Erbil,Baghdad,0
5020,2015-05-07,Ninewa,Thi Qar,0
5004,2015-05-07,Ninewa,Anbar,0
5025,2015-05-07,Salahal Din,Basrah,11
5026,2015-05-07,Salahal Din,Dahuk,0
5027,2015-05-07,Salahal Din,Diyala,0
5028,2015-05-07,Salahal Din,Erbil,0
5029,2015-05-07,Salahal Din,Kerbala,0
5030,2015-05-07,Salahal Din,Kirkuk,350
5024,2015-05-07,Salahal Din,Baghdad,987
5031,2015-05-07,Salahal Din,Missan,0
5033,2015-05-07,Salahal Din,Najaf,0
5034,2015-05-07,Salahal Din,Ninewa,0
5035,2015-05-07,Salahal Din,Qadissiya,0
5036,2015-05-07,Salahal Din,Salahal Din,0
5037,2015-05-07,Salahal Din,Sulaymaniyah,50
4969,2015-05-07,Erbil,Babylon,0
5032,2015-05-07,Salahal Din,Muthanna,2
5023,2015-05-07,Salahal Din,Babylon,6
5022,2015-05-07,Salahal Din,Anbar,0
5021,2015-05-07,Ninewa,Wassit,9
5005,2015-05-07,Ninewa,Babylon,33
5006,2015-05-07,Ninewa,Baghdad,51
5007,2015-05-07,Ninewa,Basrah,6
5008,2015-05-07,Ninewa,Dahuk,2444
5009,2015-05-07,Ninewa,Diyala,0
5010,2015-05-07,Ninewa,Erbil,0
5011,2015-05-07,Ninewa,Kerbala,5
5012,2015-05-07,Ninewa,Kirkuk,0
5013,2015-05-07,Ninewa,Missan,0
5014,2015-05-07,Ninewa,Muthanna,10
5015,2015-05-07,Ninewa,Najaf,30
5016,2015-05-07,Ninewa,Ninewa,1340
5017,2015-05-07,Ninewa,Qadissiya,0
5018,2015-05-07,Ninewa,Salahal Din,0
5019,2015-05-07,Ninewa,Sulaymaniyah,146
5003,2015-05-07,Kirkuk,Wassit,2
4968,2015-05-07,Erbil,Anbar,0
5039,2015-05-07,Salahal Din,Wassit,0
4966,2015-05-07,Diyala,Thi Qar,0
4914,2015-05-07,Babylon,Anbar,0
4915,2015-05-07,Babylon,Babylon,29
4916,2015-05-07,Babylon,Baghdad,0
4917,2015-05-07,Babylon,Basrah,0
4918,2015-05-07,Babylon,Dahuk,0
4919,2015-05-07,Babylon,Diyala,0
4913,2015-05-07,Anbar,Wassit,42
4920,2015-05-07,Babylon,Erbil,0
4922,2015-05-07,Babylon,Kirkuk,0
4923,2015-05-07,Babylon,Missan,0
4924,2015-05-07,Babylon,Muthanna,0
4925,2015-05-07,Babylon,Najaf,0
4926,2015-05-07,Babylon,Ninewa,0
4927,2015-05-07,Babylon,Qadissiya,0
4921,2015-05-07,Babylon,Kerbala,0
4928,2015-05-07,Babylon,Salahal Din,0
4912,2015-05-07,Anbar,Thi Qar,9
4910,2015-05-07,Anbar,Salahal Din,0
4896,2015-05-07,Anbar,Anbar,7703
4897,2015-05-07,Anbar,Babylon,613
4898,2015-05-07,Anbar,Baghdad,10477
4899,2015-05-07,Anbar,Basrah,0
4900,2015-05-07,Anbar,Dahuk,65
4901,2015-05-07,Anbar,Diyala,43
4911,2015-05-07,Anbar,Sulaymaniyah,607
4902,2015-05-07,Anbar,Erbil,648
4904,2015-05-07,Anbar,Kirkuk,235
4905,2015-05-07,Anbar,Missan,23
4906,2015-05-07,Anbar,Muthanna,7
4907,2015-05-07,Anbar,Najaf,9
4908,2015-05-07,Anbar,Ninewa,0
4909,2015-05-07,Anbar,Qadissiya,293
4903,2015-05-07,Anbar,Kerbala,67
4929,2015-05-07,Babylon,Sulaymaniyah,19
