Date,death,gov
2017-08-28,18,Baghdad
2017-08-29,5,Baghdad
2017-08-30,2,Baghdad
2017-08-31,2,Baghdad
2017-09-03,1,Baghdad
2017-09-04,3,Baghdad
2017-09-05,1,Baghdad
2017-09-06,2,Baghdad
2017-09-07,5,Baghdad
2017-09-08,8,Baghdad
2017-09-09,7,Baghdad
2017-09-10,7,Baghdad
2017-09-11,1,Baghdad
2017-09-12,3,Baghdad
2017-09-13,29,Baghdad
2017-09-14,1,Baghdad
2017-09-15,6,Baghdad
2017-09-16,1,Baghdad
2017-09-17,5,Baghdad
2017-09-18,6,Baghdad
2017-09-19,8,Baghdad
2017-09-20,1,Baghdad
2017-09-21,1,Baghdad
2017-09-22,1,Baghdad
2017-09-23,4,Baghdad
2017-09-24,1,Baghdad
2017-09-25,6,Baghdad
2017-09-26,12,Baghdad
2017-09-27,6,Baghdad
2017-09-28,1,Baghdad
2017-09-29,11,Baghdad
2017-09-30,5,Baghdad
2017-10-01,2,Baghdad
2017-10-02,6,Baghdad
2017-10-03,4,Baghdad
2017-10-04,30,Baghdad
2017-10-05,7,Baghdad
2017-10-06,7,Baghdad
2017-10-07,8,Baghdad
2017-10-09,4,Baghdad
2017-10-10,5,Baghdad
2017-10-11,5,Baghdad
2017-10-12,1,Baghdad
2017-10-13,1,Baghdad
2017-10-14,1,Baghdad
2017-10-15,8,Baghdad
2017-10-16,1,Baghdad
2017-10-17,1,Baghdad
2017-10-18,4,Baghdad
2017-10-19,3,Baghdad
2017-10-20,2,Baghdad
2017-10-22,4,Baghdad
2017-10-23,1,Baghdad
2017-10-24,9,Baghdad
2017-10-25,2,Baghdad
2017-10-27,4,Baghdad
2017-10-28,9,Baghdad
2017-10-29,5,Baghdad
2017-10-30,1,Baghdad
2017-10-31,4,Baghdad
2017-11-01,3,Baghdad
2017-11-02,2,Baghdad
2017-11-03,1,Baghdad
2017-11-04,4,Baghdad
2017-11-05,2,Baghdad
2017-11-06,1,Baghdad
2017-11-07,1,Baghdad
2017-11-08,1,Baghdad
2017-11-10,1,Baghdad
2017-11-11,1,Baghdad
2017-11-12,3,Baghdad
2017-11-13,1,Baghdad
2017-11-15,5,Baghdad
2017-11-17,1,Baghdad
2017-11-18,1,Baghdad
2017-11-19,2,Baghdad
2017-11-20,2,Baghdad
2017-11-21,1,Baghdad
2017-11-22,3,Baghdad
2017-11-23,1,Baghdad
2017-11-24,2,Baghdad
2017-11-25,2,Baghdad
2017-11-26,2,Baghdad
2017-11-27,17,Baghdad
2017-11-28,5,Baghdad
2017-11-29,3,Baghdad
2017-11-30,1,Baghdad
2017-12-01,2,Baghdad
2017-12-02,3,Baghdad
2017-12-03,4,Baghdad
2017-12-04,1,Baghdad
2017-12-05,2,Baghdad
2017-12-07,1,Baghdad
2017-12-09,2,Baghdad
2017-12-10,1,Baghdad
2017-12-12,1,Baghdad
2017-12-14,1,Baghdad
2017-12-15,6,Baghdad
2017-12-16,1,Baghdad
2017-12-18,1,Baghdad
2017-12-19,2,Baghdad
2017-12-20,1,Baghdad
2017-12-22,2,Baghdad
2017-12-23,1,Baghdad
2017-12-24,1,Baghdad
2017-12-25,3,Baghdad
2017-12-26,2,Baghdad
2017-12-27,1,Baghdad
2017-12-28,1,Baghdad
2017-12-29,3,Baghdad
2017-12-31,29,Baghdad
2018-01-01,3,Baghdad
2018-01-02,7,Baghdad
2018-01-03,3,Baghdad
2018-01-04,3,Baghdad
2018-01-05,2,Baghdad
2018-01-06,4,Baghdad
2018-01-07,3,Baghdad
2018-01-09,2,Baghdad
2018-01-10,1,Baghdad
2018-01-11,1,Baghdad
2018-01-12,6,Baghdad
2018-01-13,11,Baghdad
2018-01-14,3,Baghdad
2018-01-15,40,Baghdad
2018-01-16,1,Baghdad
2018-01-17,3,Baghdad
2018-01-18,1,Baghdad
2018-01-19,2,Baghdad
2018-01-20,2,Baghdad
2018-01-21,2,Baghdad
2018-01-22,3,Baghdad
2018-01-23,3,Baghdad
2018-01-24,2,Baghdad
2018-01-25,4,Baghdad
2018-01-26,2,Baghdad
2018-01-27,1,Baghdad
2018-01-28,4,Baghdad
2018-01-30,3,Baghdad
2018-01-31,4,Baghdad
2018-02-01,5,Baghdad
2018-02-02,2,Baghdad
2018-02-03,2,Baghdad
2018-02-04,4,Baghdad
2018-02-05,4,Baghdad
2018-02-07,3,Baghdad
2018-02-08,4,Baghdad
2018-02-09,3,Baghdad
2018-02-10,1,Baghdad
2018-02-11,4,Baghdad
2018-02-12,2,Baghdad
2018-02-13,2,Baghdad
2018-02-14,2,Baghdad
