Date,death,dist,ADM3CODE,ADM3NAME
2007-07-11,5,Al-Daur,iq18011,Al-Daur
2007-07-12,4,Al-Daur,iq18011,Al-Daur
2007-07-16,5,Al-Daur,iq18011,Al-Daur
2007-07-17,1,Al-Daur,iq18011,Al-Daur
2007-07-20,2,Al-Daur,iq18011,Al-Daur
2007-07-27,3,Al-Daur,iq18011,Al-Daur
2007-07-31,2,Al-Daur,iq18011,Al-Daur
2007-08-01,2,Al-Daur,iq18011,Al-Daur
2007-08-07,5,Al-Daur,iq18011,Al-Daur
2007-08-08,7,Al-Daur,iq18011,Al-Daur
2007-08-10,8,Al-Daur,iq18011,Al-Daur
2007-08-12,3,Al-Daur,iq18011,Al-Daur
2007-08-15,1,Al-Daur,iq18011,Al-Daur
2007-08-20,6,Al-Daur,iq18011,Al-Daur
2007-08-23,4,Al-Daur,iq18011,Al-Daur
2007-08-26,9,Al-Daur,iq18011,Al-Daur
2007-08-30,4,Al-Daur,iq18011,Al-Daur
2007-09-07,2,Al-Daur,iq18011,Al-Daur
2007-09-09,1,Al-Daur,iq18011,Al-Daur
2007-09-10,2,Al-Daur,iq18011,Al-Daur
2007-09-13,1,Al-Daur,iq18011,Al-Daur
2007-09-15,2,Al-Daur,iq18011,Al-Daur
2007-09-16,2,Al-Daur,iq18011,Al-Daur
2007-09-28,9,Al-Daur,iq18011,Al-Daur
2007-10-03,5,Al-Daur,iq18011,Al-Daur
2007-10-04,12,Al-Daur,iq18011,Al-Daur
2007-10-06,1,Al-Daur,iq18011,Al-Daur
2007-10-13,10,Al-Daur,iq18011,Al-Daur
2007-10-30,4,Al-Daur,iq18011,Al-Daur
2007-11-01,1,Al-Daur,iq18011,Al-Daur
2007-11-03,5,Al-Daur,iq18011,Al-Daur
2007-11-06,1,Al-Daur,iq18011,Al-Daur
2007-11-18,2,Al-Daur,iq18011,Al-Daur
2007-11-19,5,Al-Daur,iq18011,Al-Daur
2007-11-24,3,Al-Daur,iq18011,Al-Daur
2007-12-03,1,Al-Daur,iq18011,Al-Daur
2007-12-06,1,Al-Daur,iq18011,Al-Daur
2007-12-09,1,Al-Daur,iq18011,Al-Daur
2007-12-11,1,Al-Daur,iq18011,Al-Daur
2007-12-23,2,Al-Daur,iq18011,Al-Daur
2008-01-02,2,Al-Daur,iq18011,Al-Daur
2008-01-07,1,Al-Daur,iq18011,Al-Daur
2008-01-20,1,Al-Daur,iq18011,Al-Daur
2008-01-21,2,Al-Daur,iq18011,Al-Daur
2008-01-29,2,Al-Daur,iq18011,Al-Daur
2008-02-05,56,Al-Daur,iq18011,Al-Daur
2008-02-14,1,Al-Daur,iq18011,Al-Daur
2008-02-16,1,Al-Daur,iq18011,Al-Daur
2008-02-23,2,Al-Daur,iq18011,Al-Daur
2008-02-29,2,Al-Daur,iq18011,Al-Daur
2008-03-02,25,Al-Daur,iq18011,Al-Daur
2008-03-04,2,Al-Daur,iq18011,Al-Daur
2008-03-05,2,Al-Daur,iq18011,Al-Daur
2008-03-11,20,Al-Daur,iq18011,Al-Daur
2008-03-12,6,Al-Daur,iq18011,Al-Daur
2008-03-13,2,Al-Daur,iq18011,Al-Daur
2008-03-20,6,Al-Daur,iq18011,Al-Daur
2008-03-22,9,Al-Daur,iq18011,Al-Daur
2008-03-26,3,Al-Daur,iq18011,Al-Daur
2008-03-29,2,Al-Daur,iq18011,Al-Daur
2008-04-03,5,Al-Daur,iq18011,Al-Daur
2008-04-04,1,Al-Daur,iq18011,Al-Daur
2008-04-05,7,Al-Daur,iq18011,Al-Daur
2008-04-13,1,Al-Daur,iq18011,Al-Daur
2008-04-21,1,Al-Daur,iq18011,Al-Daur
2008-04-27,1,Al-Daur,iq18011,Al-Daur
2008-04-29,1,Al-Daur,iq18011,Al-Daur
2008-05-03,1,Al-Daur,iq18011,Al-Daur
2008-05-10,1,Al-Daur,iq18011,Al-Daur
2008-05-11,2,Al-Daur,iq18011,Al-Daur
2008-05-19,3,Al-Daur,iq18011,Al-Daur
2008-05-23,1,Al-Daur,iq18011,Al-Daur
2008-05-26,1,Al-Daur,iq18011,Al-Daur
2008-06-06,3,Al-Daur,iq18011,Al-Daur
2008-06-14,1,Al-Daur,iq18011,Al-Daur
2008-06-16,1,Al-Daur,iq18011,Al-Daur
2008-06-26,1,Al-Daur,iq18011,Al-Daur
2008-06-28,57,Al-Daur,iq18011,Al-Daur
2008-07-02,14,Al-Daur,iq18011,Al-Daur
2008-07-07,4,Al-Daur,iq18011,Al-Daur
2008-07-30,3,Al-Daur,iq18011,Al-Daur
2008-08-01,1,Al-Daur,iq18011,Al-Daur
2008-09-10,1,Al-Daur,iq18011,Al-Daur
2008-09-26,3,Al-Daur,iq18011,Al-Daur
2008-10-05,1,Al-Daur,iq18011,Al-Daur
2008-10-18,11,Al-Daur,iq18011,Al-Daur
2008-10-21,2,Al-Daur,iq18011,Al-Daur
2008-11-19,1,Al-Daur,iq18011,Al-Daur
