gov,Date,temp,precip,death,ArGov_sentPos,ArGov_sentNeg,Gov_eventsAll,ArGov_insVioMin_buzz,death_lag,temp_lag,precip_lag,events_lag,sentPos_lag_ar,sentNeg_lag_ar,insVioMin_buzz_lag,death_diff,sentPos_diff_ar,sentNeg_diff_ar,events_diff,insVioMin_buzz_diff,stat_prov_id
Anbar,2015-02-12,56.64183673469387,0.001224489795918367,209,2967,5113,59,308.0,83.0,50.92755102040817,0.00020408163265306123,62.0,3307.0,4137.0,133.0,126.0,-340.0,976.0,-3.0,175.0,0
Babylon,2015-02-12,58.939285714285724,0.002857142857142857,2,83,49,2,9.0,7.0,54.24107142857143,0.0,3.0,54.0,11.0,0.0,-5.0,29.0,38.0,-1.0,9.0,1
Baghdad,2015-02-12,58.294444444444444,0.0,235,1431,1489,365,93.0,163.0,52.73095238095237,0.0013492063492063493,259.0,1518.0,1936.0,69.0,72.0,-87.0,-447.0,106.0,24.0,2
Diyala,2015-02-12,58.277380952380945,0.006666666666666667,13,553,571,31,16.0,91.0,53.52738095238095,0.005595238095238096,42.0,344.0,885.0,16.0,-78.0,209.0,-314.0,-11.0,0.0,3
Erbil,2015-02-12,50.03571428571428,0.027023809523809523,1,533,721,43,29.0,1.0,47.12142857142857,0.041785714285714294,55.0,567.0,1022.0,26.0,0.0,-34.0,-301.0,-12.0,3.0,4
Kirkuk,2015-02-12,54.260714285714286,0.0071428571428571435,28,554,1517,83,61.0,12.0,50.51071428571429,0.0062499999999999995,8.0,65.0,108.0,3.0,16.0,489.0,1409.0,75.0,58.0,5
Ninewa,2015-02-12,50.97321428571429,0.002321428571428572,95,2196,2616,43,230.0,194.0,47.97946428571429,0.045892857142857145,56.0,4197.0,2396.0,254.0,-99.0,-2001.0,220.0,-13.0,-24.0,6
Salahal Din,2015-02-12,57.41938775510204,0.006428571428571429,110,450,1457,61,33.0,118.0,52.885714285714286,0.003367346938775511,29.0,235.0,337.0,11.0,-8.0,215.0,1120.0,32.0,22.0,7
Anbar,2015-02-26,52.88061224489796,0.02408163265306123,453,3322,4576,109,345.0,209.0,56.64183673469387,0.001224489795918367,59.0,2967.0,5113.0,308.0,244.0,355.0,-537.0,50.0,37.0,0
Babylon,2015-02-26,55.5125,0.011428571428571429,0,72,28,0,6.0,2.0,58.939285714285724,0.002857142857142857,2.0,83.0,49.0,9.0,-2.0,-11.0,-21.0,-2.0,-3.0,1
Baghdad,2015-02-26,54.028571428571425,0.02023809523809524,168,1258,1227,600,311.0,235.0,58.294444444444444,0.0,365.0,1431.0,1489.0,93.0,-67.0,-173.0,-262.0,235.0,218.0,2
Diyala,2015-02-26,53.519047619047626,0.04166666666666667,26,558,184,16,59.0,13.0,58.277380952380945,0.006666666666666667,31.0,553.0,571.0,16.0,13.0,5.0,-387.0,-15.0,43.0,3
Erbil,2015-02-26,44.66785714285714,0.05107142857142858,0,576,596,68,45.0,1.0,50.03571428571428,0.027023809523809523,43.0,533.0,721.0,29.0,-1.0,43.0,-125.0,25.0,16.0,4
Kirkuk,2015-02-26,49.64107142857143,0.03232142857142857,22,250,209,20,45.0,28.0,54.260714285714286,0.0071428571428571435,83.0,554.0,1517.0,61.0,-6.0,-304.0,-1308.0,-63.0,-16.0,5
Ninewa,2015-02-26,46.13125,0.07258928571428572,41,2089,2695,74,460.0,95.0,50.97321428571429,0.002321428571428572,43.0,2196.0,2616.0,230.0,-54.0,-107.0,79.0,31.0,230.0,6
Salahal Din,2015-02-26,52.69795918367348,0.0323469387755102,73,517,440,42,118.0,110.0,57.41938775510204,0.006428571428571429,61.0,450.0,1457.0,33.0,-37.0,67.0,-1017.0,-19.0,85.0,7
Anbar,2015-03-14,62.02767857142857,0.002767857142857143,145,4564,5677,90,311.0,453.0,52.88061224489796,0.02408163265306123,109.0,3322.0,4576.0,345.0,-308.0,1242.0,1101.0,-19.0,-34.0,0
Babylon,2015-03-14,63.346875000000004,0.0009375,77,80,58,0,12.0,0.0,55.5125,0.011428571428571429,0.0,72.0,28.0,6.0,77.0,8.0,30.0,0.0,6.0,1
Baghdad,2015-03-14,62.17847222222222,0.0008333333333333334,216,1941,1438,554,126.0,168.0,54.028571428571425,0.02023809523809524,600.0,1258.0,1227.0,311.0,48.0,683.0,211.0,-46.0,-185.0,2
Diyala,2015-03-14,62.92083333333334,0.002916666666666667,79,1293,501,16,77.0,26.0,53.519047619047626,0.04166666666666667,16.0,558.0,184.0,59.0,53.0,735.0,317.0,0.0,18.0,3
Erbil,2015-03-14,52.01250000000001,0.021770833333333333,0,901,1022,68,32.0,0.0,44.66785714285714,0.05107142857142858,68.0,576.0,596.0,45.0,0.0,325.0,426.0,0.0,-13.0,4
Kirkuk,2015-03-14,57.965624999999996,0.01234375,3,267,512,44,27.0,22.0,49.64107142857143,0.03232142857142857,20.0,250.0,209.0,45.0,-19.0,17.0,303.0,24.0,-18.0,5
Ninewa,2015-03-14,52.68984375000001,0.03453125,96,5613,3073,173,367.0,41.0,46.13125,0.07258928571428572,74.0,2089.0,2695.0,460.0,55.0,3524.0,378.0,99.0,-93.0,6
Salahal Din,2015-03-14,61.54821428571429,0.0069642857142857145,142,3822,2536,459,394.0,73.0,52.69795918367348,0.0323469387755102,42.0,517.0,440.0,118.0,69.0,3305.0,2096.0,417.0,276.0,7
Anbar,2015-03-26,64.14642857142857,0.06095238095238095,87,2940,3844,76,58.0,145.0,62.02767857142857,0.002767857142857143,90.0,4564.0,5677.0,311.0,-58.0,-1624.0,-1833.0,-14.0,-253.0,0
Babylon,2015-03-26,64.76250000000002,0.059166666666666666,0,117,38,2,1.0,77.0,63.346875000000004,0.0009375,0.0,80.0,58.0,12.0,-77.0,37.0,-20.0,2.0,-11.0,1
Baghdad,2015-03-26,64.28981481481482,0.0625,157,1205,1253,287,55.0,216.0,62.17847222222222,0.0008333333333333334,554.0,1941.0,1438.0,126.0,-59.0,-736.0,-185.0,-267.0,-71.0,2
Diyala,2015-03-26,64.80416666666667,0.05472222222222222,16,556,265,7,96.0,79.0,62.92083333333334,0.002916666666666667,16.0,1293.0,501.0,77.0,-63.0,-737.0,-236.0,-9.0,19.0,3
Erbil,2015-03-26,52.54583333333332,0.18013888888888888,0,492,631,59,18.0,0.0,52.01250000000001,0.021770833333333333,68.0,901.0,1022.0,32.0,0.0,-409.0,-391.0,-9.0,-14.0,4
Kirkuk,2015-03-26,57.91458333333333,0.044375,56,708,277,22,146.0,3.0,57.965624999999996,0.01234375,44.0,267.0,512.0,27.0,53.0,441.0,-235.0,-22.0,119.0,5
Ninewa,2015-03-26,53.578125,0.029895833333333333,51,2941,2161,48,654.0,96.0,52.68984375000001,0.03453125,173.0,5613.0,3073.0,367.0,-45.0,-2672.0,-912.0,-125.0,287.0,6
Salahal Din,2015-03-26,62.48571428571427,0.05464285714285714,57,2323,2321,175,190.0,142.0,61.54821428571429,0.0069642857142857145,459.0,3822.0,2536.0,394.0,-85.0,-1499.0,-215.0,-284.0,-204.0,7
Anbar,2015-04-10,71.38285714285715,0.013333333333333334,490,4233,2805,58,79.0,87.0,64.14642857142857,0.06095238095238095,76.0,2940.0,3844.0,58.0,403.0,1293.0,-1039.0,-18.0,21.0,0
Babylon,2015-04-10,71.46333333333334,0.024500000000000004,0,189,83,2,7.0,0.0,64.76250000000002,0.059166666666666666,2.0,117.0,38.0,1.0,0.0,72.0,45.0,0.0,6.0,1
Baghdad,2015-04-10,71.40814814814816,0.018000000000000002,159,1401,803,475,38.0,157.0,64.28981481481482,0.0625,287.0,1205.0,1253.0,55.0,2.0,196.0,-450.0,188.0,-17.0,2
Diyala,2015-04-10,72.04666666666667,0.026777777777777782,23,799,549,4,154.0,16.0,64.80416666666667,0.05472222222222222,7.0,556.0,265.0,96.0,7.0,243.0,284.0,-3.0,58.0,3
Erbil,2015-04-10,61.14777777777777,0.02611111111111111,0,896,256,59,73.0,0.0,52.54583333333332,0.18013888888888888,59.0,492.0,631.0,18.0,0.0,404.0,-375.0,0.0,55.0,4
Kirkuk,2015-04-10,66.155,0.01,15,84,62,17,1.0,56.0,57.91458333333333,0.044375,22.0,708.0,277.0,146.0,-41.0,-624.0,-215.0,-5.0,-145.0,5
Ninewa,2015-04-10,62.29999999999999,0.009000000000000001,99,2361,1672,54,776.0,51.0,53.578125,0.029895833333333333,48.0,2941.0,2161.0,654.0,48.0,-580.0,-489.0,6.0,122.0,6
Salahal Din,2015-04-10,70.2152380952381,0.020666666666666667,24,3216,2097,334,214.0,57.0,62.48571428571427,0.05464285714285714,175.0,2323.0,2321.0,190.0,-33.0,893.0,-224.0,159.0,24.0,7
Anbar,2015-04-25,71.06,0.001142857142857143,167,4192,2689,222,56.0,490.0,71.38285714285715,0.013333333333333334,58.0,4233.0,2805.0,79.0,-323.0,-41.0,-116.0,164.0,-23.0,0
Babylon,2015-04-25,73.92833333333333,0.004,35,187,20,0,3.0,0.0,71.46333333333334,0.024500000000000004,2.0,189.0,83.0,7.0,35.0,-2.0,-63.0,-2.0,-4.0,1
Baghdad,2015-04-25,73.02296296296295,0.0,200,1498,934,408,81.0,159.0,71.40814814814816,0.018000000000000002,475.0,1401.0,803.0,38.0,41.0,97.0,131.0,-67.0,43.0,2
Diyala,2015-04-25,74.14555555555556,0.00011111111111111112,44,549,219,11,64.0,23.0,72.04666666666667,0.026777777777777782,4.0,799.0,549.0,154.0,21.0,-250.0,-330.0,7.0,-90.0,3
Erbil,2015-04-25,59.05333333333332,0.0641111111111111,3,561,225,77,34.0,0.0,61.14777777777777,0.02611111111111111,59.0,896.0,256.0,73.0,3.0,-335.0,-31.0,18.0,-39.0,4
Kirkuk,2015-04-25,66.905,0.021666666666666664,58,315,122,31,4.0,15.0,66.155,0.01,17.0,84.0,62.0,1.0,43.0,231.0,60.0,14.0,3.0,5
Ninewa,2015-04-25,60.669166666666676,0.08591666666666666,211,1619,1110,35,186.0,99.0,62.29999999999999,0.009000000000000001,54.0,2361.0,1672.0,776.0,112.0,-742.0,-562.0,-19.0,-590.0,6
Salahal Din,2015-04-25,72.02761904761904,0.004190476190476191,362,2010,1164,144,57.0,24.0,70.2152380952381,0.020666666666666667,334.0,3216.0,2097.0,214.0,338.0,-1206.0,-933.0,-190.0,-157.0,7
Anbar,2015-05-07,79.95714285714286,0.010476190476190477,123,1663,1814,130,44.0,167.0,71.06,0.001142857142857143,222.0,4192.0,2689.0,56.0,-44.0,-2529.0,-875.0,-92.0,-12.0,0
Babylon,2015-05-07,81.48750000000001,0.0,1,149,13,3,4.0,35.0,73.92833333333333,0.004,0.0,187.0,20.0,3.0,-34.0,-38.0,-7.0,3.0,1.0,1
Baghdad,2015-05-07,80.05555555555556,0.017407407407407406,212,651,554,405,36.0,200.0,73.02296296296295,0.0,408.0,1498.0,934.0,81.0,12.0,-847.0,-380.0,-3.0,-45.0,2
Diyala,2015-05-07,81.86527777777778,0.018333333333333333,16,187,79,14,26.0,44.0,74.14555555555556,0.00011111111111111112,11.0,549.0,219.0,64.0,-28.0,-362.0,-140.0,3.0,-38.0,3
Erbil,2015-05-07,69.68194444444444,0.007777777777777779,0,296,118,96,4.0,3.0,59.05333333333332,0.0641111111111111,77.0,561.0,225.0,34.0,-3.0,-265.0,-107.0,19.0,-30.0,4
Kirkuk,2015-05-07,75.78541666666666,0.005833333333333334,2,36,26,2,2.0,58.0,66.905,0.021666666666666664,31.0,315.0,122.0,4.0,-56.0,-279.0,-96.0,-29.0,-2.0,5
Ninewa,2015-05-07,71.78020833333333,0.0035416666666666665,102,1081,742,14,147.0,211.0,60.669166666666676,0.08591666666666666,35.0,1619.0,1110.0,186.0,-109.0,-538.0,-368.0,-21.0,-39.0,6
Salahal Din,2015-05-07,79.91428571428571,0.012857142857142859,4,665,465,60,39.0,362.0,72.02761904761904,0.004190476190476191,144.0,2010.0,1164.0,57.0,-358.0,-1345.0,-699.0,-84.0,-18.0,7
Anbar,2015-05-21,85.76632653061223,0.0003061224489795919,415,1781,1419,373,73.0,123.0,79.95714285714286,0.010476190476190477,130.0,1663.0,1814.0,44.0,292.0,118.0,-395.0,243.0,29.0,0
Babylon,2015-05-21,87.4232142857143,0.009285714285714286,14,47,11,0,2.0,1.0,81.48750000000001,0.0,3.0,149.0,13.0,4.0,13.0,-102.0,-2.0,-3.0,-2.0,1
Baghdad,2015-05-21,86.9531746031746,0.0,155,884,626,340,84.0,212.0,80.05555555555556,0.017407407407407406,405.0,651.0,554.0,36.0,-57.0,233.0,72.0,-65.0,48.0,2
Diyala,2015-05-21,88.60119047619047,0.0,110,156,205,57,16.0,16.0,81.86527777777778,0.018333333333333333,14.0,187.0,79.0,26.0,94.0,-31.0,126.0,43.0,-10.0,3
Erbil,2015-05-21,77.5,0.01142857142857143,0,446,214,88,12.0,0.0,69.68194444444444,0.007777777777777779,96.0,296.0,118.0,4.0,0.0,150.0,96.0,-8.0,8.0,4
Kirkuk,2015-05-21,82.67142857142856,0.009285714285714286,28,36,49,8,5.0,2.0,75.78541666666666,0.005833333333333334,2.0,36.0,26.0,2.0,26.0,0.0,23.0,6.0,3.0,5
Ninewa,2015-05-21,79.02232142857143,0.015714285714285715,84,988,1124,40,110.0,102.0,71.78020833333333,0.0035416666666666665,14.0,1081.0,742.0,147.0,-18.0,-93.0,382.0,26.0,-37.0,6
Salahal Din,2015-05-21,86.56836734693877,0.00489795918367347,33,532,409,62,29.0,4.0,79.91428571428571,0.012857142857142859,60.0,665.0,465.0,39.0,29.0,-133.0,-56.0,2.0,-10.0,7
Anbar,2015-06-04,92.33469387755102,0.00010204081632653062,115,2603,1663,422,102.0,415.0,85.76632653061223,0.0003061224489795919,373.0,1781.0,1419.0,73.0,-300.0,822.0,244.0,49.0,29.0,0
Babylon,2015-06-04,92.71607142857145,0.0,1,68,46,0,6.0,14.0,87.4232142857143,0.009285714285714286,0.0,47.0,11.0,2.0,-13.0,21.0,35.0,0.0,4.0,1
Baghdad,2015-06-04,92.74285714285715,0.0,149,880,623,407,86.0,155.0,86.9531746031746,0.0,340.0,884.0,626.0,84.0,-6.0,-4.0,-3.0,67.0,2.0,2
Diyala,2015-06-04,94.42261904761905,0.0,9,198,124,9,42.0,110.0,88.60119047619047,0.0,57.0,156.0,205.0,16.0,-101.0,42.0,-81.0,-48.0,26.0,3
Erbil,2015-06-04,83.21071428571427,0.006666666666666667,1,337,104,34,15.0,0.0,77.5,0.01142857142857143,88.0,446.0,214.0,12.0,1.0,-109.0,-110.0,-54.0,3.0,4
Kirkuk,2015-06-04,88.90178571428574,0.0005357142857142857,93,55,86,5,4.0,28.0,82.67142857142856,0.009285714285714286,8.0,36.0,49.0,5.0,65.0,19.0,37.0,-3.0,-1.0,5
Ninewa,2015-06-04,84.5125,0.0016071428571428571,78,1207,777,21,115.0,84.0,79.02232142857143,0.015714285714285715,40.0,988.0,1124.0,110.0,-6.0,219.0,-347.0,-19.0,5.0,6
Salahal Din,2015-06-04,92.7469387755102,0.00020408163265306123,2,666,843,85,34.0,33.0,86.56836734693877,0.00489795918367347,62.0,532.0,409.0,29.0,-31.0,134.0,434.0,23.0,5.0,7
Anbar,2015-06-22,92.26825396825396,0.0,171,3403,2603,270,168.0,115.0,92.33469387755102,0.00010204081632653062,422.0,2603.0,1663.0,102.0,56.0,800.0,940.0,-152.0,66.0,0
Babylon,2015-06-22,93.07777777777777,0.0,2,105,22,0,0.0,1.0,92.71607142857145,0.0,0.0,68.0,46.0,6.0,1.0,37.0,-24.0,0.0,-6.0,1
Baghdad,2015-06-22,93.95987654320989,0.0,193,1571,810,404,133.0,149.0,92.74285714285715,0.0,407.0,880.0,623.0,86.0,44.0,691.0,187.0,-3.0,47.0,2
Diyala,2015-06-22,96.67777777777778,0.0,49,287,201,11,59.0,9.0,94.42261904761905,0.0,9.0,198.0,124.0,42.0,40.0,89.0,77.0,2.0,17.0,3
Erbil,2015-06-22,86.85648148148147,0.001851851851851852,0,690,178,57,8.0,1.0,83.21071428571427,0.006666666666666667,34.0,337.0,104.0,15.0,-1.0,353.0,74.0,23.0,-7.0,4
Kirkuk,2015-06-22,92.4986111111111,0.002777777777777778,58,94,72,12,16.0,93.0,88.90178571428574,0.0005357142857142857,5.0,55.0,86.0,4.0,-35.0,39.0,-14.0,7.0,12.0,5
Ninewa,2015-06-22,88.26597222222225,0.001388888888888889,165,2501,1132,52,231.0,78.0,84.5125,0.0016071428571428571,21.0,1207.0,777.0,115.0,87.0,1294.0,355.0,31.0,116.0,6
Salahal Din,2015-06-22,95.47857142857143,0.0,28,1274,658,111,45.0,2.0,92.7469387755102,0.00020408163265306123,85.0,666.0,843.0,34.0,26.0,608.0,-185.0,26.0,11.0,7
Anbar,2015-07-02,92.58000000000001,0.0,171,1320,1104,86,81.0,171.0,92.26825396825396,0.0,270.0,3403.0,2603.0,168.0,0.0,-2083.0,-1499.0,-184.0,-87.0,0
Babylon,2015-07-02,93.52750000000002,0.0,1,52,25,0,8.0,2.0,93.07777777777777,0.0,0.0,105.0,22.0,0.0,-1.0,-53.0,3.0,0.0,8.0,1
Baghdad,2015-07-02,93.21555555555554,0.0,121,521,450,251,58.0,193.0,93.95987654320989,0.0,404.0,1571.0,810.0,133.0,-72.0,-1050.0,-360.0,-153.0,-75.0,2
Diyala,2015-07-02,95.07666666666667,0.0,19,213,82,9,39.0,49.0,96.67777777777778,0.0,11.0,287.0,201.0,59.0,-30.0,-74.0,-119.0,-2.0,-20.0,3
Erbil,2015-07-02,88.33833333333332,0.0,0,363,105,15,20.0,0.0,86.85648148148147,0.001851851851851852,57.0,690.0,178.0,8.0,0.0,-327.0,-73.0,-42.0,12.0,4
Kirkuk,2015-07-02,92.53000000000002,0.0,2,61,22,9,7.0,58.0,92.4986111111111,0.002777777777777778,12.0,94.0,72.0,16.0,-56.0,-33.0,-50.0,-3.0,-9.0,5
Ninewa,2015-07-02,89.945,0.0,224,1053,880,20,125.0,165.0,88.26597222222225,0.001388888888888889,52.0,2501.0,1132.0,231.0,59.0,-1448.0,-252.0,-32.0,-106.0,6
Salahal Din,2015-07-02,94.70285714285714,0.0,10,789,390,28,40.0,28.0,95.47857142857143,0.0,111.0,1274.0,658.0,45.0,-18.0,-485.0,-268.0,-83.0,-5.0,7
Anbar,2015-07-13,98.63376623376622,0.0,303,2427,1738,134,83.0,171.0,92.58000000000001,0.0,86.0,1320.0,1104.0,81.0,132.0,1107.0,634.0,48.0,2.0,0
Babylon,2015-07-13,98.65,0.0,0,94,51,2,6.0,1.0,93.52750000000002,0.0,0.0,52.0,25.0,8.0,-1.0,42.0,26.0,2.0,-2.0,1
Baghdad,2015-07-13,98.56767676767676,0.0,166,373,316,221,38.0,121.0,93.21555555555554,0.0,251.0,521.0,450.0,58.0,45.0,-148.0,-134.0,-30.0,-20.0,2
Diyala,2015-07-13,101.08333333333331,0.0,9,252,138,6,48.0,19.0,95.07666666666667,0.0,9.0,213.0,82.0,39.0,-10.0,39.0,56.0,-3.0,9.0,3
Erbil,2015-07-13,95.38484848484849,0.0,0,365,89,16,28.0,0.0,88.33833333333332,0.0,15.0,363.0,105.0,20.0,0.0,2.0,-16.0,1.0,8.0,4
Kirkuk,2015-07-13,98.7590909090909,0.0,43,131,54,25,17.0,2.0,92.53000000000002,0.0,9.0,61.0,22.0,7.0,41.0,70.0,32.0,16.0,10.0,5
Ninewa,2015-07-13,97.26022727272726,0.0,91,1091,661,15,205.0,224.0,89.945,0.0,20.0,1053.0,880.0,125.0,-133.0,38.0,-219.0,-5.0,80.0,6
Salahal Din,2015-07-13,100.83376623376624,0.0,94,570,328,49,41.0,10.0,94.70285714285714,0.0,28.0,789.0,390.0,40.0,84.0,-219.0,-62.0,21.0,1.0,7
Anbar,2015-07-30,101.62773109243697,0.0,172,6724,4568,260,284.0,303.0,98.63376623376622,0.0,134.0,2427.0,1738.0,83.0,-131.0,4297.0,2830.0,126.0,201.0,0
Babylon,2015-07-30,101.21323529411765,0.0,0,460,130,1,40.0,0.0,98.65,0.0,2.0,94.0,51.0,6.0,0.0,366.0,79.0,-1.0,34.0,1
Baghdad,2015-07-30,101.83725490196076,0.0,199,441,352,465,51.0,166.0,98.56767676767676,0.0,221.0,373.0,316.0,38.0,33.0,68.0,36.0,244.0,13.0,2
Diyala,2015-07-30,103.58235294117647,0.0,32,368,162,32,35.0,9.0,101.08333333333331,0.0,6.0,252.0,138.0,48.0,23.0,116.0,24.0,26.0,-13.0,3
Erbil,2015-07-30,94.5686274509804,0.0,131,320,148,223,22.0,0.0,95.38484848484849,0.0,16.0,365.0,89.0,28.0,131.0,-45.0,59.0,207.0,-6.0,4
Kirkuk,2015-07-30,101.78088235294116,0.0,4,86,91,9,6.0,43.0,98.7590909090909,0.0,25.0,131.0,54.0,17.0,-39.0,-45.0,37.0,-16.0,-11.0,5
Ninewa,2015-07-30,97.51102941176471,0.0,309,1494,1988,48,264.0,91.0,97.26022727272726,0.0,15.0,1091.0,661.0,205.0,218.0,403.0,1327.0,33.0,59.0,6
Salahal Din,2015-07-30,103.8361344537815,0.0,42,835,575,28,62.0,94.0,100.83376623376624,0.0,49.0,570.0,328.0,41.0,-52.0,265.0,247.0,-21.0,21.0,7
Anbar,2015-08-13,103.17142857142858,0.0,96,2200,1105,98,67.0,172.0,101.62773109243697,0.0,260.0,6724.0,4568.0,284.0,-76.0,-4524.0,-3463.0,-162.0,-217.0,0
Babylon,2015-08-13,101.31785714285715,0.0,1,91,47,2,2.0,0.0,101.21323529411765,0.0,1.0,460.0,130.0,40.0,1.0,-369.0,-83.0,1.0,-38.0,1
Baghdad,2015-08-13,102.86587301587302,0.0,166,246,289,389,41.0,199.0,101.83725490196076,0.0,465.0,441.0,352.0,51.0,-33.0,-195.0,-63.0,-76.0,-10.0,2
Diyala,2015-08-13,104.2595238095238,0.0,109,172,180,15,23.0,32.0,103.58235294117647,0.0,32.0,368.0,162.0,35.0,77.0,-196.0,18.0,-17.0,-12.0,3
Erbil,2015-08-13,98.0059523809524,0.0,12,336,163,78,19.0,131.0,94.5686274509804,0.0,223.0,320.0,148.0,22.0,-119.0,16.0,15.0,-145.0,-3.0,4
Kirkuk,2015-08-13,101.86071428571428,0.0,54,151,23,6,19.0,4.0,101.78088235294116,0.0,9.0,86.0,91.0,6.0,50.0,65.0,-68.0,-3.0,13.0,5
Ninewa,2015-08-13,99.01071428571427,0.0,552,1490,587,34,125.0,309.0,97.51102941176471,0.0,48.0,1494.0,1988.0,264.0,243.0,-4.0,-1401.0,-14.0,-139.0,6
Salahal Din,2015-08-13,103.66428571428573,0.0,12,440,197,7,20.0,42.0,103.8361344537815,0.0,28.0,835.0,575.0,62.0,-30.0,-395.0,-378.0,-21.0,-42.0,7
Anbar,2015-08-27,100.38775510204081,0.0,55,1428,629,136,110.0,96.0,103.17142857142858,0.0,98.0,2200.0,1105.0,67.0,-41.0,-772.0,-476.0,38.0,43.0,0
Babylon,2015-08-27,99.51964285714287,0.0,1,31,13,14,7.0,1.0,101.31785714285715,0.0,2.0,91.0,47.0,2.0,0.0,-60.0,-34.0,12.0,5.0,1
Baghdad,2015-08-27,98.76349206349207,0.0,203,213,302,359,41.0,166.0,102.86587301587302,0.0,389.0,246.0,289.0,41.0,37.0,-33.0,13.0,-30.0,0.0,2
Diyala,2015-08-27,101.15238095238094,0.0,11,258,53,7,43.0,109.0,104.2595238095238,0.0,15.0,172.0,180.0,23.0,-98.0,86.0,-127.0,-8.0,20.0,3
Erbil,2015-08-27,93.22738095238094,0.0,1,329,137,48,18.0,12.0,98.0059523809524,0.0,78.0,336.0,163.0,19.0,-11.0,-7.0,-26.0,-30.0,-1.0,4
Kirkuk,2015-08-27,98.56964285714285,0.0,28,56,61,11,16.0,54.0,101.86071428571428,0.0,6.0,151.0,23.0,19.0,-26.0,-95.0,38.0,5.0,-3.0,5
Ninewa,2015-08-27,95.41964285714286,0.0,404,1365,994,91,168.0,552.0,99.01071428571427,0.0,34.0,1490.0,587.0,125.0,-148.0,-125.0,407.0,57.0,43.0,6
Salahal Din,2015-08-27,101.1673469387755,0.0,56,829,454,50,37.0,12.0,103.66428571428573,0.0,7.0,440.0,197.0,20.0,44.0,389.0,257.0,43.0,17.0,7
Anbar,2015-09-10,97.8081632653061,0.00040816326530612246,48,726,1146,122,169.0,55.0,100.38775510204081,0.0,136.0,1428.0,629.0,110.0,-7.0,-702.0,517.0,-14.0,59.0,0
Babylon,2015-09-10,98.54821428571427,0.0,0,27,13,1,1.0,1.0,99.51964285714287,0.0,14.0,31.0,13.0,7.0,-1.0,-4.0,0.0,-13.0,-6.0,1
Baghdad,2015-09-10,97.02539682539681,0.0,143,137,300,349,25.0,203.0,98.76349206349207,0.0,359.0,213.0,302.0,41.0,-60.0,-76.0,-2.0,-10.0,-16.0,2
Diyala,2015-09-10,99.64523809523811,0.0,21,175,113,1,53.0,11.0,101.15238095238094,0.0,7.0,258.0,53.0,43.0,10.0,-83.0,60.0,-6.0,10.0,3
Erbil,2015-09-10,89.0452380952381,0.0047619047619047615,4,281,577,37,258.0,1.0,93.22738095238094,0.0,48.0,329.0,137.0,18.0,3.0,-48.0,440.0,-11.0,240.0,4
Kirkuk,2015-09-10,95.40178571428571,0.002142857142857143,10,147,331,14,3.0,28.0,98.56964285714285,0.0,11.0,56.0,61.0,16.0,-18.0,91.0,270.0,3.0,-13.0,5
Ninewa,2015-09-10,90.51964285714284,0.015178571428571428,322,582,338,27,101.0,404.0,95.41964285714286,0.0,91.0,1365.0,994.0,168.0,-82.0,-783.0,-656.0,-64.0,-67.0,6
Salahal Din,2015-09-10,98.38775510204083,0.0016326530612244899,79,531,257,47,26.0,56.0,101.1673469387755,0.0,50.0,829.0,454.0,37.0,23.0,-298.0,-197.0,-3.0,-11.0,7
Anbar,2015-09-29,94.51052631578946,0.0,82,1009,1086,85,371.0,48.0,97.8081632653061,0.00040816326530612246,122.0,726.0,1146.0,169.0,34.0,283.0,-60.0,-37.0,202.0,0
Babylon,2015-09-29,93.1921052631579,0.0,0,93,29,5,15.0,0.0,98.54821428571427,0.0,1.0,27.0,13.0,1.0,0.0,66.0,16.0,4.0,14.0,1
Baghdad,2015-09-29,92.52982456140352,0.0,204,197,602,385,35.0,143.0,97.02539682539681,0.0,349.0,137.0,300.0,25.0,61.0,60.0,302.0,36.0,10.0,2
Diyala,2015-09-29,94.84385964912282,0.0,32,127,46,8,25.0,21.0,99.64523809523811,0.0,1.0,175.0,113.0,53.0,11.0,-48.0,-67.0,7.0,-28.0,3
Erbil,2015-09-29,86.95438596491228,0.0,0,453,162,43,70.0,4.0,89.0452380952381,0.0047619047619047615,37.0,281.0,577.0,258.0,-4.0,172.0,-415.0,6.0,-188.0,4
Kirkuk,2015-09-29,91.86315789473684,0.0,62,166,267,21,3.0,10.0,95.40178571428571,0.002142857142857143,14.0,147.0,331.0,3.0,52.0,19.0,-64.0,7.0,0.0,5
Ninewa,2015-09-29,88.39999999999999,0.0,307,782,738,38,137.0,322.0,90.51964285714284,0.015178571428571428,27.0,582.0,338.0,101.0,-15.0,200.0,400.0,11.0,36.0,6
Salahal Din,2015-09-29,94.49172932330826,0.0,219,565,546,45,38.0,79.0,98.38775510204083,0.0016326530612244899,47.0,531.0,257.0,26.0,140.0,34.0,289.0,-2.0,12.0,7
Anbar,2015-10-22,84.88260869565217,0.012795031055900623,236,1579,631,108,107.0,82.0,94.51052631578946,0.0,85.0,1009.0,1086.0,371.0,154.0,570.0,-455.0,23.0,-264.0,0
Babylon,2015-10-22,85.40652173913043,0.009130434782608695,4,47,22,0,11.0,0.0,93.1921052631579,0.0,5.0,93.0,29.0,15.0,4.0,-46.0,-7.0,-5.0,-4.0,1
