fromGov,toGov,Date,numofFam,year,month,day,numofFamDiff
Baghdad,Anbar,2018-02-28,24,2018,2,28,0
Baghdad,Dahuk,2018-02-28,44,2018,2,28,0
Baghdad,Basrah,2018-02-28,30,2018,2,28,-1
Baghdad,Baghdad,2018-02-28,110,2018,2,28,-14
Baghdad,Babylon,2018-02-28,86,2018,2,28,0
Baghdad,Muthanna,2018-02-28,29,2018,2,28,0
Baghdad,Diyala,2018-02-28,61,2018,2,28,0
Baghdad,Najaf,2018-02-28,6,2018,2,28,-6
Diyala,Baghdad,2018-02-28,457,2018,2,28,-46
Baghdad,Sulaymaniyah,2018-02-28,3122,2018,2,28,40
Baghdad,Thi-Qar,2018-02-28,7,2018,2,28,0
Baghdad,Wassit,2018-02-28,62,2018,2,28,0
Diyala,Babylon,2018-02-28,28,2018,2,28,0
Diyala,Basrah,2018-02-28,42,2018,2,28,0
Diyala,Diyala,2018-02-28,9316,2018,2,28,-109
Diyala,Erbil,2018-02-28,231,2018,2,28,0
Diyala,Kerbala,2018-02-28,20,2018,2,28,-5
Diyala,Kirkuk,2018-02-28,699,2018,2,28,30
Diyala,Missan,2018-02-28,16,2018,2,28,0
Diyala,Muthanna,2018-02-28,7,2018,2,28,-1
Babylon,Wassit,2018-02-28,20,2018,2,28,0
Baghdad,Qadissiya,2018-02-28,65,2018,2,28,0
Diyala,Qadissiya,2018-02-28,22,2018,2,28,0
Anbar,Thi-Qar,2018-02-28,157,2018,2,28,0
Babylon,Sulaymaniyah,2018-02-28,1316,2018,2,28,41
Anbar,Babylon,2018-02-28,281,2018,2,28,-9
Anbar,Baghdad,2018-02-28,15294,2018,2,28,-1113
Anbar,Basrah,2018-02-28,276,2018,2,28,-11
Anbar,Dahuk,2018-02-28,107,2018,2,28,-3
Anbar,Diyala,2018-02-28,261,2018,2,28,-10
Anbar,Erbil,2018-02-28,13513,2018,2,28,-232
Anbar,Kerbala,2018-02-28,114,2018,2,28,-3
Anbar,Kirkuk,2018-02-28,1414,2018,2,28,-73
Anbar,Missan,2018-02-28,29,2018,2,28,0
Anbar,Muthanna,2018-02-28,69,2018,2,28,-8
Anbar,Najaf,2018-02-28,214,2018,2,28,0
Anbar,Ninewa,2018-02-28,35,2018,2,28,-8
Anbar,Qadissiya,2018-02-28,197,2018,2,28,-25
Anbar,Salah al-Din,2018-02-28,163,2018,2,28,0
Anbar,Sulaymaniyah,2018-02-28,7310,2018,2,28,-1088
Diyala,Salah al-Din,2018-02-28,289,2018,2,28,0
Anbar,Wassit,2018-02-28,225,2018,2,28,-18
Babylon,Anbar,2018-02-28,555,2018,2,28,44
Babylon,Babylon,2018-02-28,2436,2018,2,28,-4
Babylon,Baghdad,2018-02-28,1005,2018,2,28,-8
Babylon,Basrah,2018-02-28,22,2018,2,28,0
Babylon,Diyala,2018-02-28,77,2018,2,28,0
Babylon,Kerbala,2018-02-28,171,2018,2,28,0
Babylon,Kirkuk,2018-02-28,20,2018,2,28,0
